reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Akerman, K. 2006 High tech–low tech: lithic technology in the Kimberley Region of Western Australia. In J. Apel and K. Knutsson (eds), pp.323–346. Skilled Production and Social Reproduction. Aspects on Traditional Stone-Tool Technologies. Uppsala, Societas Archaeologica Upsaliensis.",chapter,2006,na,pyramidal core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. 2007 To Make A Point: Ethnographic Reality and the Ethnographic and Experimental Replication Of Australian Macroblades Known as Leilira. Australian Archaeology 64(1):23–34.",paper,2007,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Akerman, K. 2007 To Make A Point: Ethnographic Reality and the Ethnographic and Experimental Replication Of Australian Macroblades Known as Leilira. Australian Archaeology 64(1):23–34.",paper,2007,na,blade core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Akerman, K. 2007 To Make A Point: Ethnographic Reality and the Ethnographic and Experimental Replication Of Australian Macroblades Known as Leilira. Australian Archaeology 64(1):23–34.",paper,2007,na,pyramidal core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Akerman, K. 2014 Observations on edge-ground stone hatchets with hafting modifications in Western Australia. Australian Archaeology 79(1):137–145.",paper,2014,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Akerman, K. and P. Bindon 1995 Dentate and related stone biface points from Northern Australia. The Beagle, Records of the Museums and Art Galleries of the Northern Territory 12:89–99.",paper,1995,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"Akerman, K., B. Birch, and N. Evans 2014 Notes on the Contemporary Knowledge of Traditional Material Culture Among the Iwaidja—Cobourg Peninsula, Arnhem Land, Northern Territory 2005–2006. Transactions of the Royal Society of South Australia 138(2):181–213.",paper,2014,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"Akerman, K., R. Fullagar, and A. van Gijn 2002 Weapons and wunan: production, function and exchanges of Kimberley points. Australian Aboriginal Studies 1:13–42.",paper,2002,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.",thesis_phd,1972,na,core,no,category,"no explicit definition given, however ""unmodified cores"", ""horsehoof cores"", and ""core tools"" are differentiated",na,na,na,na,na,na,na,na,New South Wales,
"Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.",thesis_phd,1972,163,horsehoof core,yes,subcategory,"""These are high domed cores with flat round bases from which flakes were struck to give them their circular domed shapes.""",na,na,no,no,explicit,no,explicit,typological,New South Wales,
"Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.",thesis_phd,1972,na,unmodified core,no,subcategory,"no explicit definition given, however ""unmodified cores"", ""horsehoof cores"", and ""core tools"" are differentiated",na,na,na,na,na,na,na,na,New South Wales,
"Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.",thesis_phd,1972,163,core tool,cites,subcategory,cites other definition,"Bowler, J.M., R. Jones, H. Allen, and A.G. Thorne 1970 Pleistocene human remains from Australia: a living site and human cremation from Lake Mungo, western New South Wales. World Archaeology 2(1):39–60.",na,na,na,na,na,na,na,New South Wales,
"Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.",thesis_phd,1972,na,bipolar core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,45,core,yes,category,"""Cores are identified as those artifacts with multiple negative flake scars across their surfaces.""",na,broad,no,implicit,no,no,explicit,typological,Northern Territory,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,45,informal type I core,yes,subcategory,"""These are lumps of stone with 6 or more facets, created when flakes were struck from their margins. Their shapes suggest a methodical flaking technique; a flake or flakes being struck off one part of the stone which is then repositioned in the hand or on an anvil to detach further flakes. The process then continued around the surface of the pebble, eventually producing its shape, (Fig. 12).""",na,na,no,implicit,no,no,explicit,typological,Northern Territory,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,45,informal type II core,yes,subcategory,"""These cores were initially large flakes, perhaps created when the original boulder or pebble was fractured, and which have been used themselves as a source for more usefully sized flakes. These have a shape akin to large flakes but are truncated and modified by further flaking, (Fig. 13).""",na,na,no,explicit,no,no,explicit,typological,Northern Territory,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,45,informal type III core,yes,subcategory,"""Cores produced by the removal of a couple of large flakes from their margins forming a flat base and platform, and 3 or 4 well-defined, cleanly fractures sides. They are more cube shaped than other cores, (Fig. 14).""",na,na,no,implicit,explicit,no,explicit,typological,Northern Territory,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,49,bipolar core,yes,subcategory,"""bifacial bruising thought to indicate the presence of fabricators or bipolar cores... feature(s) at both ends""",na,na,no,implicit,no,no,explicit,typological,Northern Territory,
"Allen, H. and G. Barton 1989 Ngarradj Warde Djobkeng: White Cockatoo Dreaming and the prehistory of Kakadu. Sydney, University of Sydney.",book,1989,na,core scraper,no,subcategory,na,na,na,na,na,na,na,na,na,Northern Territory,
"Allen, H. and S. Holdaway 2009 The archaeology of Mungo and the Willandra Lakes: looking back, looking forward. Archaeology in Oceania 44(2):96–106.",paper,2009,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Allen, H., S. Holdaway, P. Fanning, and J. Littleton 2008 Footprints in the sand: appraising the archaeology of the Willandra Lakes, western New South Wales, Australia. Antiquity 82(315):11–24.",paper,2008,na,core,na,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Allen, H.R. 1987 Holocene mangroves and middens in northern Australia and Southeast Asia. Bulletin of the Indo-Pacific Prehistory Association 7:1–16.",paper,1987,na,core,no,category,na,na,na,na,na,na,na,na,na,Northern Territory,
"Allen, J. 2017 Yes, Virginia, there is a Santa Claus; He just doesn’t bring presents to children who don’t believe in him. Australian Archaeology 83(3):163–165.",paper,2017,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"Allen, J. and I. Lilley 2015 Australia and New Guinea, Archaeology of. In J.D. Wright (ed.), pp.229–233. International Encyclopedia of the Social & Behavioral Sciences (Second Edition). Oxford, Elsevier.",chapter,2015,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Allen, J. and J.F. O’Connell 2003 The long and the short of it: archaeological approaches to determining when humans first colonised Australia and New Guinea. Australian Archaeology (57):5–19.",paper,2003,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Allen, J. and J.F. O’Connell 2014 Both half right: Updating the evidence for dating first human arrivals in Sahul. Australian Archaeology 79:86–108.",paper,2014,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Allen, J. and J.F. O’Connell 2014 Both half right: Updating the evidence for dating first human arrivals in Sahul. Australian Archaeology 79:86–108.",paper,2014,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Allen, J. and R. Jones 1980 Oyster Cove: Archaeological traces of the last Tasmanians and notes on the criteria for the authentication of flaked glass artefacts. Papers and Proceedings of the Royal Society of Tasmania 114:225–233.",paper,1980,228,bipyramid disc core,yes,subcategory,"""flakes taken off a zig-zag edge right around its perimeter""",na,na,no,implicit,explicit,no,explicit,na,Tasmania,
"Allen, J., B. Marshall, and D. Ranson 1989 A note on excavations at the Maxwell River site, M86/2, southwest Tasmania. Australian Archaeology (29):3–8.",paper,1989,na,na,na,na,na,na,na,na,na,na,na,na,na,Tasmania,
"Allen, J., R. Cosgrove, and S. Brown 1988 New archaeological data from the Southern Forests Region, Tasmania: A preliminary statement. Australian Archaeology (27):75–88.",paper,1988,na,core,no,category,na,na,na,na,na,na,na,na,na,Tasmania,
"Allen, J., R. Cosgrove, and S. Brown 1988 New archaeological data from the Southern Forests Region, Tasmania: A preliminary statement. Australian Archaeology (27):75–88.",paper,1988,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Tasmania,
"Allen, J., R. Cosgrove, and S. Brown 1988 New archaeological data from the Southern Forests Region, Tasmania: A preliminary statement. Australian Archaeology (27):75–88.",paper,1988,na,multiplatformed core,no,subcategory,na,na,na,na,na,na,na,na,na,Tasmania,
"Andrefsky Jr., W. 2005 Lithics. Macroscopic approaches to analysis. Second. Cambridge, Cambridge University Press.",book,2005,254,core,yes,category,"""A nucleus or mass of rock that shows signs of detached piece removal. A core is often considered an objective piece that functions primarily as a source for detached pieces.""",na,broad,no,explicit,no,no,explicit,typological,global,
"Andrefsky Jr., W. 2005 Lithics. Macroscopic approaches to analysis. Second. Cambridge, Cambridge University Press.",book,2005,254,core tool,yes,subcategory,"""A core used for chopping, cutting, or some other activity other than as a source of detached pieces.""",na,na,no,explicit,no,no,no,typological,global,
"Aplin, K., F.D. Ford, and P. Hiscock 2010 Early Holocene human occupation and environment of the southeast Australian Alps: New evidence from the Yarrangobilly Plateau, New South Wales. Altered Ecologies: Fire, climate and human influence on terrestrial landscapes. ANU ePress.",chapter,2010,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Ash, J., J. Mialanes, L.M. Brady, and F.E. von Gnielinski 2020 A 1,200-year-old ground-stone object from South Western Torres Strait (northeast Australia) and its implications for historicising ethnographically known social networks. Australian Archaeology 86(2):97–111.",paper,2020,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Ash, J., J.J. Bradley, J. Mialanes, L.M. Brady, S. Evans, D. Barrett, B. David, D. Wesley, E. Dotte-Sarout, C. Rowe, C. Urwin, and T. Manne 2022 Marra philosophies of stone, and the stone artefacts of Walanjiwurru 1 rockshelter, Marra Country, northern Australia. Journal of Anthropological Archaeology 68:101456.",paper,2022,na,core,no,category,na,na,na,na,na,na,na,na,na,Northern Territory,
"Asmussen, B. 2005 Dangerous harvest revisted: taphonomy, methodology and intensification in the central Queensland highlands, Australia. PhD, Canberra, Australian National University.",thesis_phd,2005,80,core,cites,category,"no explicit defintion, cites Debenath & Dibble (1994) and Hiscock (1988)","Debenath, A. and H. Dibble 1994 Handbook of Palaeolithic typology. Lower and Middle Palaeolithic of Europe. Philadelphia, University of Pennsylvania Press.

Hiscock, P.D. 1988 Prehistoric settlement patterns and artefact manufacture at Lawn Hill, northwest Queensland. PhD, Brisbane, University of Queensland.",na,na,na,na,na,na,na,Queensland,
"Attenbrow, V. 1980 Loggers Shelter, Upper Mangrove Creek, near Sydney. Australian Archaeology 11:25–27.",paper,1980,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 1987 The Upper Mangrove Creek Catchment: a study of quantitative changes in the archaeological record. PhD, Sydney, University of Sydney.",thesis_phd,1987,Volume II Appendix 4: 2,core,yes,category,"provides no explicit definition, but gives the following characteristics for a core in the definition of ""Flaked Pieces A"": ""the diagnostic features of cores (ie (sic) striking platforms and impact points associated with negative flake scars"". Additionally cites unpublished reports in Volume I, pg 111.","Attenbrow, V.J. 1981 Mangrove Creek Dam Salvage Excavation Project - Volumes I and II. Unpublished report to National PArks & Wildlife Services of NSW on behalf of the Department of Public Works of NSW.

Attenbrow, V.J. 1982 Archaeological Investigations of Deep Creek Shelter, Mangrove Creek Dam. Unpublished report to National PArks & Wildlife Services of NSW on behalf of the Department of Public Works of NSW.",broad,no,no,no,no,explicit,typological,New South Wales,
"Attenbrow, V. 1987 The Upper Mangrove Creek Catchment: a study of quantitative changes in the archaeological record. PhD, Sydney, University of Sydney.",thesis_phd,1987,Volume II Appendix 4: 2,bipolar core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 1987 The Upper Mangrove Creek Catchment: a study of quantitative changes in the archaeological record. PhD, Sydney, University of Sydney.",thesis_phd,1987,Volume II Appendix 4: 1-2,flaked piece A,yes,subcategory,"""are blocky pieces, obviously the residue from stone knapping from the presence of fresh fractures and the type of raw material, but without the diagnostic features of cores (ie (sic) striking platforms and impact points associated with negative flake scars) or flakes (ie (sic) striking platforms with ring cracks and positive flake scars with bulbs of percussion) and may have parts of negative flake scars (ie (sic) non-impact zone, medial and distal sections). These pieces are probably the result of uncontrolled core shatter during knapping or heat fracture, or fracturing along incipient fracture planes in the raw material.""",na,na,no,explicit,explicit,explicit,explicit,typological,New South Wales,
"Attenbrow, V. 1987 The Upper Mangrove Creek Catchment: a study of quantitative changes in the archaeological record. PhD, Sydney, University of Sydney.",thesis_phd,1987,Volume II Appendix 4: 2,flaked piece B,yes,subcategory,"""are flake-like pieces - ie (sic) flat and thin, but do not have the diagnostic features of flakes (hand-held or bipolar flakes). They may have either a possible/probable striking platform, but there is no bulb of percussion, etc, or there is no striking platform, etc. These pieces could be the result of either
(a) hand-held or bipolar knapping, or
(b) uncontrolled core shatter.",na,na,no,no,explicit,no,explicit,typological,New South Wales,
"Attenbrow, V. 1987 The Upper Mangrove Creek Catchment: a study of quantitative changes in the archaeological record. PhD, Sydney, University of Sydney.",thesis_phd,1987,Volume II Appendix 4: 2,hand-held core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 2003 Habitation and land use patterns in the Upper Mangrove Creek catchment, New South Wales central coast, Australia. Australian Archaeology 57(1):20–31.",paper,2003,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 2006 What’s changing: population size or land-use patterns? The archaeology of Upper Mangrove Creek, Sydney Basin. Canberra, ANU E Press.",book,2006,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 2007 Emu Tracks 2, Kangaroo and Echidna, and Two Moths: Further Radiocarbon Ages for Aboriginal Sites in the Upper Mangrove Creek Catchment, New South Wales. Australian Archaeology 65(1):51–54.",paper,2007,na,core,na,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 2007 Emu Tracks 2, Kangaroo and Echidna, and Two Moths: Further Radiocarbon Ages for Aboriginal Sites in the Upper Mangrove Creek Catchment, New South Wales. Australian Archaeology 65(1):51–54.",paper,2007,na,bipolar core,na,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V. 2010 Sydney’s Aboriginal past: investigating the archaeological and historical records. 2nd edition. Sydney, University of New South Wales Press.",book,2010,204,core,yes,category,"“A piece of stone off which flakes have been struck intentionally in order to obtain flakes to be used as stone tools. A core must have one (or more) complete negative or bulbar flake scars – the concave surface left after a flake has been removed… Many cores were cobbles or pebbles as well as block of quarried bedrock, though large flakes, flaked pieces or heat-shattered pieces were also used as cores.”",na,broad,no,explicit,explicit,no,explicit,typological,New South Wales,
"Attenbrow, V. 2010 Sydney’s Aboriginal past: investigating the archaeological and historical records. 2nd edition. Sydney, University of New South Wales Press.",book,2010,204,core tool,yes,subcategory,“A core that has signs of use (use-wear in the form of edge-fracturing or polish) indicating that it was used as a tool as well as a source of flakes.”,na,na,no,explicit,no,no,no,typological,New South Wales,
"Attenbrow, V. 2012 The Aboriginal prehistory and archaeology of Royal National Park and environs: a review. Proceedings of the Linnean Society of N.S.W. 134:B39–B64.",paper,2012,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V., B. David, and J. Flood 1995 Mennge-ya and the origins of points: new insights into the appearance of points in the semi-arid zone of the Northern Territory. Archaeology in Oceania 30(3):105–120.",paper,1995,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"Attenbrow, V., T. Doelman, and T. Corkill 2008 Organizing the manufacture of Bondi points at Balmoral Beach, Middle Harbour, Sydney, NSW, Australia. Archaeology in Oceania 43:104–119.",paper,2008,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V., T. Doelman, and T. Corkill 2008 Organizing the manufacture of Bondi points at Balmoral Beach, Middle Harbour, Sydney, NSW, Australia. Archaeology in Oceania 43:104–119.",paper,2008,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V., T. Doelman, and T. Corkill 2008 Organizing the manufacture of Bondi points at Balmoral Beach, Middle Harbour, Sydney, NSW, Australia. Archaeology in Oceania 43:104–119.",paper,2008,na,single-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V., T. Doelman, and T. Corkill 2008 Organizing the manufacture of Bondi points at Balmoral Beach, Middle Harbour, Sydney, NSW, Australia. Archaeology in Oceania 43:104–119.",paper,2008,na,multi-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Attenbrow, V., T. Doelman, and T. Corkill 2008 Organizing the manufacture of Bondi points at Balmoral Beach, Middle Harbour, Sydney, NSW, Australia. Archaeology in Oceania 43:104–119.",paper,2008,na,bi-directional core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Bailey, G.N. 1977 Shell Mounds, Shell Middens and Raised Beaches in the Cape York Peninsula. Mankind 11(2):132–143.",paper,1977,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Balme, J. 2000 Excavations revealing 40,000 years of occupation at Mimbi Caves, south central Kimberley, Western Australia. Australian Archaeology 51(1):1–5.",paper,2000,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Balme, J. 2014 Devils Lair: Occupation intensity and land-use. Australian Archaeology 79(1):179–186.",paper,2014,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,core,na,category,na,na,na,na,na,na,na,na,na,Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,discoidal core,na,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,rotated core,na,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,prismatic blade core,na,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,single platform core,na,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Balme, J. and S. O’Connor 2014 Early modern humans in island Southeast Asia and Sahul: adaptive and creative societies with simple lithic industries. In R. Dennell and M. Porr (eds), pp.164–174. Southern Asia, Australia and the search for human origins. Cambridge, Cambridge University Press.",chapter,2014,na,multiplatform core,na,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Barker, B. 1989 Nara Inlet 1: a Holocene sequence from the Whitsunday Islands, central Queensland coast. Queensland Archaeological Research 6:53–76.",paper,1989,na,core,na,category,na,na,na,na,na,na,na,na,na,Queensland,
"Barker, B. 1991 Nara Inlet 1: coastal resource use and the Holocene marine transgression in the Whitsunday Islands, Central Queensland. Archaeology in Oceania 26(3):102–109.",paper,1991,na,core,na,category,na,na,na,na,na,na,na,na,na,Queensland,
"Barker, B. 1995 ‘The sea people’. Maritime hunter-gatherers on the tropical coast. A late Holocene maritime specialisation in the Whitsudnay Islands, central Queensland. PhD, Brisbane, University of Queensland.",thesis_phd,1995,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Barker, B. 2006 The Temporality of Cultural Material on a Deflated Dune System at Abbot Point, Central Queensland Coast. Australian Archaeology 62(1):44–46.",paper,2006,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Barker, B. and L. Lamb 2022 Wunjunga midden: Late Holocene change, site preservation and open midden sites on the Central Queensland Coast. Australian Archaeology 88(3):318–327.",paper,2022,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Barker, B. and R. Schon 1994 A preliminary assessment of the spatial distribution of stone artefacts from the South Molle Island Aboriginal Quarry, Whitsunday Islands, central Queensland coast. Memoirs of the Queensland Museum 37(1):5–12.",paper,1994,na,core,na,category,na,na,na,na,na,na,na,na,na,Queensland,"""The quarry is dominated by extremely large flakes which have been removed from the substrate and then used as cores (technologically they are retouched flakes)."" pg 5"
"Barker, B., L. Lamb, and G. Campbell 2016 The Mine Island Aboriginal stone arrangements: spiritual responses to late Holocene change on the central Queensland coast. Australian Archaeology 82(3):232–247.",paper,2016,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
